gene_name	gene_symbol	chrom	strand
1600015I10Rik	1600015I10Rik	chr6	1
1600019K03Rik	1600019K03Rik	chr16	-1
1600020E01Rik	1600020E01Rik	chr6	1
1600023N17Rik	1600023N17Rik	chr5	-1
1600025M17Rik	1600025M17Rik	chrX	1
1600027J07Rik	1600027J07Rik	chr8	-1
1600029I14Rik;Nme9	1600029I14Rik	chr9	1
1600029I14Rik;Nme9	Nme9	chr9	1
1600029O15Rik	1600029O15Rik	chr9	1
1700001C02Rik	1700001C02Rik	chr5	1
1700001C19Rik	1700001C19Rik	chr17	-1
1700001D01Rik	1700001D01Rik	chr8	-1
1700001F09Rik	1700001F09Rik	chr14	-1
1700001G01Rik	1700001G01Rik	chr18	1
1700001G11Rik	1700001G11Rik	chr14	-1
1700001G17Rik	1700001G17Rik	chr1	1
1700001J03Rik	1700001J03Rik	chr5	-1
1700001J11Rik	1700001J11Rik	chr9	1
1700001K19Rik	1700001K19Rik	chr12	-1
1700001K23Rik	1700001K23Rik	chr19	-1
1700001L05Rik	1700001L05Rik	chr15	-1
1700001L19Rik	1700001L19Rik	chr13	1
1700001O22Rik	1700001O22Rik	chr2	-1
1700001P01Rik	1700001P01Rik	chr11	-1
1700003C15Rik	1700003C15Rik	chr5	-1
1700003D09Rik	1700003D09Rik	chr11	-1
1700003E16Rik	1700003E16Rik	chr6	1
1700003F12Rik	1700003F12Rik	chr2	1
1700003G13Rik	1700003G13Rik	chr9	-1
1700003G18Rik	1700003G18Rik	chr7	-1
1700003H04Rik	1700003H04Rik	chr3	-1
1700003I22Rik	1700003I22Rik	chr1	1
1700003L19Rik	1700003L19Rik	chr16	1
1700003M07Rik	1700003M07Rik	chr4	1
1700003P14Rik	1700003P14Rik	chr13	1
1700006A11Rik	1700006A11Rik	chr3	-1
1700006E09Rik	1700006E09Rik	chr11	1
1700006F04Rik	1700006F04Rik	chr14	1
1700006H21Rik	1700006H21Rik	chr13	1
1700007B14Rik	1700007B14Rik	chr8	1
1700007F19Rik	1700007F19Rik	chr3	-1
1700007G11Rik	1700007G11Rik	chr5	1
1700007J10Rik	1700007J10Rik	chr11	-1
1700007K09Rik	1700007K09Rik	chr7	-1
1700007K13Rik	1700007K13Rik	chr2	-1
1700007L15Rik	1700007L15Rik	chr16	-1
1700007P06Rik	1700007P06Rik	chr1	1
1700008C04Rik	1700008C04Rik	chr12	1
1700008J07Rik	1700008J07Rik	chr7	-1
1700008K24Rik;DQ699514	1700008K24Rik	chr17	-1
1700008K24Rik;DQ699514	DQ699514	chr17	-1
1700008O03Rik	1700008O03Rik	chr7	-1
1700008P02Rik	1700008P02Rik	chr3	-1
1700009C05Rik	1700009C05Rik	chr6	-1
1700009J07Rik	1700009J07Rik	chr10	1
1700009N14Rik	1700009N14Rik	chr4	1
1700010B08Rik	1700010B08Rik	chr2	1
1700010D01Rik	1700010D01Rik	chrX	-1
1700010H22Rik	1700010H22Rik	chr5	-1
1700010I02Rik	1700010I02Rik	chr3	-1
1700010I14Rik	1700010I14Rik	chr17	1
1700010J16Rik	1700010J16Rik	chr10	1
1700010K23Rik	1700010K23Rik	chr16	1
1700011A15Rik	1700011A15Rik	chr15	1
1700011B04Rik	1700011B04Rik	chr13	1
1700011C11Rik	1700011C11Rik	chr7	1
1700011E24Rik	1700011E24Rik	chr17	-1
1700011H14Rik	1700011H14Rik	chr14	-1
1700011I03Rik	1700011I03Rik	chr18	1
1700011L22Rik	1700011L22Rik	chr8	-1
1700011M02Rik	1700011M02Rik	chrX	1
1700012A03Rik	1700012A03Rik	chr6	1
1700012B07Rik	1700012B07Rik	chr11	-1
1700012B09Rik	1700012B09Rik	chr9	-1
1700012C14Rik	1700012C14Rik	chr6	1
1700012D01Rik;Tmem194	1700012D01Rik	chr10	1
1700012D01Rik;Tmem194	Tmem194	chr10	1
1700012D14Rik;AK031468	1700012D14Rik	chr7	-1
1700012D14Rik;AK031468	AK031468	chr7	-1
1700012D16Rik	1700012D16Rik	chr3	-1
1700012H19Rik	1700012H19Rik	chr11	-1
1700012I11Rik	1700012I11Rik	chr15	1
1700012L04Rik	1700012L04Rik	chrX	1
1700012P22Rik	1700012P22Rik	chr4	-1
1700013D24Rik	1700013D24Rik	chr6	-1
1700013F07Rik	1700013F07Rik	chr3	1
1700013G24Rik	1700013G24Rik	chr4	1
1700013H16Rik	1700013H16Rik	chrX	-1
1700015E13Rik	1700015E13Rik	chr1	1
1700015F17Rik	1700015F17Rik	chr5	-1
1700015G11Rik	1700015G11Rik	chr7	-1
1700016C15Rik	1700016C15Rik	chr1	1
1700016D06Rik	1700016D06Rik	chr8	-1
1700016G22Rik	1700016G22Rik	chr13	-1
1700016H13Rik	1700016H13Rik	chr5	-1
1700016K19Rik	1700016K19Rik	chr11	1
1700016L04Rik	1700016L04Rik	chr10	1
1700016L21Rik	1700016L21Rik	chr1	1
1700016P04Rik	1700016P04Rik	chr6	1
1700017B05Rik	1700017B05Rik	chr9	-1
1700017D01Rik	1700017D01Rik	chr19	-1
1700017G19Rik	1700017G19Rik	chr3	-1
1700017J07Rik	1700017J07Rik	chr2	1
1700017L05Rik	1700017L05Rik	chr5	1
1700017N19Rik	1700017N19Rik	chr10	1
1700018A04Rik	1700018A04Rik	chr13	-1
1700018B08Rik	1700018B08Rik	chr8	-1
1700018B24Rik	1700018B24Rik	chr3	-1
1700018C11Rik	1700018C11Rik	chr4	-1
1700018F24Rik	1700018F24Rik	chr5	1
1700018G05Rik	1700018G05Rik	chrX	1
1700018L02Rik	1700018L02Rik	chr19	1
1700019A02Rik	1700019A02Rik	chr1	-1
1700019B03Rik	1700019B03Rik	chr8	1
1700019B21Rik	1700019B21Rik	chrX	-1
1700019C18Rik	1700019C18Rik	chr13	-1
1700019D03Rik	1700019D03Rik	chr1	-1
1700019E08Rik	1700019E08Rik	chr2	1
1700019G24Rik	1700019G24Rik	chr6	-1
1700019M22Rik	1700019M22Rik	chr12	-1
1700019N19Rik	1700019N19Rik	chr19	-1
1700019O17Rik	1700019O17Rik	chr1	1
1700020A23Rik	1700020A23Rik	chr2	1
1700020D05Rik	1700020D05Rik	chr19	-1
1700020D14Rik	1700020D14Rik	chrY	-1
1700020D14Rik	1700020D14Rik	chrY	1
1700020G17Rik	1700020G17Rik	chr10	-1
1700020I14Rik	1700020I14Rik	chr2	1
1700020L24Rik	1700020L24Rik	chr11	1
1700020M21Rik	1700020M21Rik	chr9	-1
1700020N01Rik	1700020N01Rik	chr10	1
1700020N15Rik	1700020N15Rik	chrX	1
1700020N18Rik	1700020N18Rik	chr1	-1
1700021F05Rik	1700021F05Rik	chr10	-1
1700021F07Rik	1700021F07Rik	chr2	1
1700021N21Rik	1700021N21Rik	chr4	-1
1700022A21Rik	1700022A21Rik	chr5	1
1700022A22Rik	1700022A22Rik	chr15	1
1700022E09Rik	1700022E09Rik	chr16	-1
1700022H01Rik	1700022H01Rik	chr10	-1
1700022H16Rik	1700022H16Rik	chr12	-1
1700022I11Rik	1700022I11Rik	chr4	1
1700023C21Rik	1700023C21Rik	chr11	1
1700023F02Rik	1700023F02Rik	chr10	-1
1700023F06Rik	1700023F06Rik	chr11	-1
1700024B18Rik	1700024B18Rik	chr14	1
1700024F13Rik;2810429I04Rik	1700024F13Rik	chr13	1
1700024F13Rik;2810429I04Rik	2810429I04Rik	chr13	1
1700024G13Rik	1700024G13Rik	chr14	-1
1700024I08Rik	1700024I08Rik	chr13	-1
1700024N05Rik	1700024N05Rik	chr6	-1
1700024P04Rik	1700024P04Rik	chr13	-1
1700024P16Rik	1700024P16Rik	chr4	1
1700025B11Rik	1700025B11Rik	chr15	-1
1700025C18Rik	1700025C18Rik	chr2	-1
1700025F22Rik	1700025F22Rik	chr19	-1
1700025F24Rik	1700025F24Rik	chr10	1
1700025G04Rik	1700025G04Rik	chr1	-1
1700025J12Rik	1700025J12Rik	chr7	1
1700025K24Rik	1700025K24Rik	chr17	-1
1700025M24Rik	1700025M24Rik	chr5	-1
1700025N23Rik	1700025N23Rik	chr6	-1
1700026D11Rik	1700026D11Rik	chr2	1
1700026F02Rik	1700026F02Rik	chr8	-1
1700026J14Rik	1700026J14Rik	chr6	-1
1700026L06Rik	1700026L06Rik	chr2	-1
1700027A15Rik	1700027A15Rik	chr1	1
1700027F06Rik	1700027F06Rik	chr6	-1
1700027F09Rik	1700027F09Rik	chr5	-1
1700027H10Rik	1700027H10Rik	chr3	-1
1700027I24Rik	1700027I24Rik	chr9	-1
1700027J07Rik	1700027J07Rik	chr10	1
1700028B04Rik	1700028B04Rik	chr7	1
1700028D13Rik	1700028D13Rik	chr5	1
1700028E10Rik	1700028E10Rik	chr5	1
1700028I16Rik	1700028I16Rik	chr10	1
1700028J19Rik	1700028J19Rik	chr7	-1
1700028K03Rik;A830010M20Rik	1700028K03Rik	chr5	1
1700028K03Rik;A830010M20Rik	A830010M20Rik	chr5	1
1700028M03Rik	1700028M03Rik	chr3	-1
1700028P14Rik	1700028P14Rik	chr19	-1
1700028P15Rik	1700028P15Rik	chr2	-1
1700029B22Rik	1700029B22Rik	chr7	1
1700029F12Rik	1700029F12Rik	chr13	-1
1700029H14Rik	1700029H14Rik	chr8	-1
1700029I15Rik	1700029I15Rik	chr2	1
1700029J03Rik	1700029J03Rik	chr16	-1
1700029J07Rik	1700029J07Rik	chr8	-1
1700029M20Rik	1700029M20Rik	chr4	1
1700029N11Rik	1700029N11Rik	chr13	1
1700029P11Rik	1700029P11Rik	chr15	1
1700030A11Rik	1700030A11Rik	chr17	1
1700030C10Rik	1700030C10Rik	chr12	-1
1700030F04Rik	1700030F04Rik	chr6	-1
1700030F18Rik	1700030F18Rik	chr15	-1
1700030J22Rik	1700030J22Rik	chr8	-1
1700030K09Rik	1700030K09Rik	chr8	1
1700030L20Rik	1700030L20Rik	chr3	-1
1700030M09Rik	1700030M09Rik	chr8	1
1700030N03Rik	1700030N03Rik	chr19	-1
1700030O20Rik	1700030O20Rik	chr10	-1
1700031A10Rik	1700031A10Rik	chr17	1
1700031F05Rik	1700031F05Rik	chrX	-1
1700031F10Rik	1700031F10Rik	chr6	-1
1700031M16Rik	1700031M16Rik	chr15	1
1700031P21Rik	1700031P21Rik	chr12	-1
1700034E13Rik	1700034E13Rik	chr18	1
1700034G24Rik	1700034G24Rik	chr5	-1
1700034H15Rik;AK076925	1700034H15Rik	chr1	-1
1700034H15Rik;AK076925	AK076925	chr1	-1
1700034I23Rik	1700034I23Rik	chr3	-1
1700034J05Rik	1700034J05Rik	chr6	-1
1700034K08Rik	1700034K08Rik	chr9	-1
1700034O15Rik	1700034O15Rik	chr6	1
1700034P13Rik	1700034P13Rik	chr1	1
1700036G14Rik	1700036G14Rik	chr3	1
1700037C18Rik	1700037C18Rik	chr16	-1
1700037H04Rik	1700037H04Rik	chr2	-1
1700039E15Rik	1700039E15Rik	chr7	1
1700039E22Rik	1700039E22Rik	chr19	-1
1700040L02Rik	1700040L02Rik	chr10	-1
1700041A01Rik	1700041A01Rik	chr5	-1
1700041B01Rik	1700041B01Rik	chr15	1
1700041C23Rik	1700041C23Rik	chr9	1
1700041M19Rik	1700041M19Rik	chr16	-1
1700042G07Rik	1700042G07Rik	chr4	1
1700042G15Rik	1700042G15Rik	chr4	-1
1700042O10Rik	1700042O10Rik	chr11	1
1700044C05Rik	1700044C05Rik	chr14	1
1700044K03Rik	1700044K03Rik	chr18	1
1700045H11Rik	1700045H11Rik	chr4	-1
1700046C09Rik	1700046C09Rik	chr11	-1
1700047A11Rik	1700047A11Rik	chr8	1
1700047E10Rik	1700047E10Rik	chr14	-1
1700047G03Rik	1700047G03Rik	chr15	1
1700047L14Rik	1700047L14Rik	chr5	1
1700047M11Rik;AK047804	1700047M11Rik	chr1	1
1700047M11Rik;AK047804	AK047804	chr1	1
1700048M11Rik	1700048M11Rik	chr16	-1
1700048O20Rik	1700048O20Rik	chr9	1
1700049E15Rik	1700049E15Rik	chr6	1
1700049E22Rik	1700049E22Rik	chr6	1
1700049G17Rik;BC061462	1700049G17Rik	chr7	-1
1700049G17Rik;BC061462	BC061462	chr7	-1
1700049L16Rik	1700049L16Rik	chr10	-1
1700051A21Rik	1700051A21Rik	chr11	1
1700052I22Rik	1700052I22Rik	chr12	-1
1700052K11Rik	1700052K11Rik	chr11	-1
1700054A03Rik	1700054A03Rik	chr19	1
1700054K19Rik	1700054K19Rik	chr6	1
1700054M17Rik	1700054M17Rik	chr2	1
1700055C04Rik	1700055C04Rik	chr9	-1
1700056E22Rik	1700056E22Rik	chr1	-1
1700057G04Rik	1700057G04Rik	chr9	1
1700057H15Rik	1700057H15Rik	chr4	-1
1700057H21Rik	1700057H21Rik	chr2	-1
1700060C16Rik	1700060C16Rik	chr6	-1
1700060C20Rik	1700060C20Rik	chr2	1
1700061F12Rik	1700061F12Rik	chr2	1
1700061G19Rik	1700061G19Rik	chr17	1
1700061I17Rik	1700061I17Rik	chr3	-1
1700061J23Rik	1700061J23Rik	chr11	1
1700063A18Rik	1700063A18Rik	chr1	-1
1700063D05Rik	1700063D05Rik	chr9	1
1700063O14Rik	1700063O14Rik	chr5	-1
1700064J06Rik	1700064J06Rik	chr10	1
1700064M15Rik	1700064M15Rik	chr12	-1
1700065D16Rik	1700065D16Rik	chr9	-1
1700065I16Rik	1700065I16Rik	chr15	1
1700065J11Rik	1700065J11Rik	chr6	1
1700065J18Rik	1700065J18Rik	chr1	1
1700065L07Rik	1700065L07Rik	chr6	-1
1700065O20Rik	1700065O20Rik	chr18	-1
1700066B17Rik	1700066B17Rik	chr1	-1
1700066B19Rik	1700066B19Rik	chr18	1
1700066J03Rik;AK039557	1700066J03Rik	chr13	1
1700066J03Rik;AK039557	AK039557	chr13	1
1700066M21Rik	1700066M21Rik	chr1	1
1700066N21Rik	1700066N21Rik	chr5	-1
1700066O22Rik;AK006909;AK016016	1700066O22Rik	chr18	-1
1700066O22Rik;AK006909;AK016016	AK006909	chr18	-1
1700066O22Rik;AK006909;AK016016	AK016016	chr18	-1
1700067G17Rik	1700067G17Rik	chr1	1
1700067K01Rik	1700067K01Rik	chr8	1
1700067P10Rik	1700067P10Rik	chr17	1
1700069L16Rik	1700069L16Rik	chr5	-1
1700069P05Rik	1700069P05Rik	chr6	-1
1700071K01Rik	1700071K01Rik	chr11	-1
1700071M16Rik;AK006933	1700071M16Rik	chr17	-1
1700071M16Rik;AK006933	AK006933	chr17	-1
1700072B07Rik	1700072B07Rik	chr9	1
1700072I22Rik	1700072I22Rik	chr11	1
1700072O05Rik	1700072O05Rik	chr6	1
1700073E17Rik;AK006943;BC049631	1700073E17Rik	chr6	1
1700073E17Rik;AK006943;BC049631	AK006943	chr6	1
1700073E17Rik;AK006943;BC049631	BC049631	chr6	1
1700074H08Rik	1700074H08Rik	chr13	1
1700074P13Rik	1700074P13Rik	chr6	-1
1700080E11Rik	1700080E11Rik	chr9	-1
1700080N15Rik	1700080N15Rik	chr2	-1
1700080O16Rik	1700080O16Rik	chrX	-1
1700081H04Rik	1700081H04Rik	chr5	1
1700084D21Rik	1700084D21Rik	chr13	1
1700084E18Rik	1700084E18Rik	chr2	-1
1700084F23Rik	1700084F23Rik	chr13	-1
1700084J12Rik	1700084J12Rik	chr15	-1
1700084M14Rik	1700084M14Rik	chrX	-1
1700085C21Rik	1700085C21Rik	chr12	-1
1700086L19Rik	1700086L19Rik	chr12	1
1700086O06Rik	1700086O06Rik	chr18	-1
1700088E04Rik	1700088E04Rik	chr15	-1
1700091H14Rik	1700091H14Rik	chr14	-1
1700092C02Rik	1700092C02Rik	chr8	1
1700092C10Rik	1700092C10Rik	chr14	-1
1700092E19Rik	1700092E19Rik	chr13	-1
1700092K14Rik	1700092K14Rik	chr11	1
1700092M07Rik	1700092M07Rik	chr19	1
1700093K21Rik	1700093K21Rik	chr11	-1
1700094D03Rik;4933434E20Rik;AK217252	1700094D03Rik	chr3	1
1700094D03Rik;4933434E20Rik;AK217252	4933434E20Rik	chr3	1
1700094D03Rik;4933434E20Rik;AK217252	AK217252	chr3	1
1700094J05Rik	1700094J05Rik	chr10	1
1700094M24Rik	1700094M24Rik	chr6	1
1700095A21Rik	1700095A21Rik	chr4	-1
1700095B10Rik	1700095B10Rik	chr5	1
1700095J12Rik	1700095J12Rik	chr4	-1
1700096J18Rik	1700096J18Rik	chr11	1
1700096K18Rik	1700096K18Rik	chr5	1
1700096P03Rik	1700096P03Rik	chr8	-1
1700097N02Rik	1700097N02Rik	chr17	-1
1700099I09Rik	1700099I09Rik	chr13	1
1700100I10Rik	1700100I10Rik	chr14	-1
1700100L14Rik	1700100L14Rik	chr13	1
1700101I11Rik	1700101I11Rik	chr6	-1
1700101O22Rik	1700101O22Rik	chr12	-1
1700102H20Rik	1700102H20Rik	chr17	1
1700102P08Rik	1700102P08Rik	chr9	1
1700104L18Rik	1700104L18Rik	chr12	1
1700105P06Rik	1700105P06Rik	chr19	1
1700108F19Rik	1700108F19Rik	chr14	1
1700108J01Rik	1700108J01Rik	chr14	-1
1700109G14Rik	1700109G14Rik	chr14	-1
1700109G15Rik	1700109G15Rik	chr11	-1
1700109H08Rik	1700109H08Rik	chr5	1
1700109I08Rik	1700109I08Rik	chr14	1
1700109K24Rik	1700109K24Rik	chr15	1
1700110C19Rik	1700110C19Rik	chr17	1
1700110I01Rik	1700110I01Rik	chr14	1
1700110I07Rik	1700110I07Rik	chr7	-1
1700110K17Rik	1700110K17Rik	chr9	1
1700111N16Rik	1700111N16Rik	chrX	-1
1700112E06Rik	1700112E06Rik	chr14	1
1700112H15Rik	1700112H15Rik	chr1	-1
1700112J05Rik	1700112J05Rik	chr5	-1
1700112J16Rik	1700112J16Rik	chr7	-1
1700113A16Rik	1700113A16Rik	chr3	-1
1700113B09Rik	1700113B09Rik	chr10	1
1700113H08Rik	1700113H08Rik	chr10	1
1700116B05Rik	1700116B05Rik	chr16	1
1700119H24Rik	1700119H24Rik	chr16	-1
1700120C14Rik	1700120C14Rik	chr15	1
1700120E14Rik	1700120E14Rik	chr18	-1
1700120G07Rik	1700120G07Rik	chr7	-1
1700120K04Rik	1700120K04Rik	chr7	-1
1700121L16Rik	1700121L16Rik	chrX	1
1700121N20Rik	1700121N20Rik	chr12	-1
1700122C19Rik	1700122C19Rik	chr19	1
1700122O11Rik	1700122O11Rik	chr17	-1
1700123I01Rik;AK028710	1700123I01Rik	chr19	1
1700123I01Rik;AK028710	AK028710	chr19	1
1700123J17Rik	1700123J17Rik	chr7	-1
1700123K08Rik	1700123K08Rik	chr5	-1
1700123L14Rik	1700123L14Rik	chr6	-1
1700123M08Rik	1700123M08Rik	chr4	1
1700123O12Rik	1700123O12Rik	chr4	-1
1700123O20Rik	1700123O20Rik	chr14	1
1700123O21Rik	1700123O21Rik	chr16	1
1700124L16Rik	1700124L16Rik	chr6	-1
1700125G02Rik	1700125G02Rik	chr4	-1
1700125G22Rik	1700125G22Rik	chr3	1
1700125H03Rik	1700125H03Rik	chr8	1
1700125H20Rik	1700125H20Rik	chr11	1
1700126H18Rik	1700126H18Rik	chr5	-1
1700128A07Rik	1700128A07Rik	chr14	-1
1700128F08Rik	1700128F08Rik	chr9	1
1700129C05Rik	1700129C05Rik	chr14	-1
1810006J02Rik	1810006J02Rik	chr1	1
1810007C17Rik	1810007C17Rik	chr12	-1
1810007D17Rik	1810007D17Rik	chr19	1
1810008I18Rik	1810008I18Rik	chr7	1
1810009A15Rik;Lbhd1	1810009A15Rik	chr19	1
1810009A15Rik;Lbhd1	Lbhd1	chr19	1
1810009J06Rik	1810009J06Rik	chr6	1
1810010D01Rik	1810010D01Rik	chr7	-1
1810010H24Rik	1810010H24Rik	chr11	1
1810011H11Rik	1810011H11Rik	chr14	1
1810011O10Rik	1810011O10Rik	chr8	-1
1810012K16Rik	1810012K16Rik	chr8	1
1810013A23Rik	1810013A23Rik	chr17	1
1810013L24Rik	1810013L24Rik	chr16	1
1810014B01Rik	1810014B01Rik	chr10	1
1810018F18Rik	1810018F18Rik	chr19	1
1810019D21Rik	1810019D21Rik	chr8	1
1810020O05Rik	1810020O05Rik	chr6	-1
1810021B22Rik	1810021B22Rik	chr15	-1
1810022K09Rik	1810022K09Rik	chr3	-1
1810024B03Rik	1810024B03Rik	chr2	-1
1810026J23Rik	1810026J23Rik	chr9	1
1810030O07Rik	1810030O07Rik	chrX	-1
1810032O08Rik;Snord1a	1810032O08Rik	chr11	1
1810032O08Rik;Snord1a	Snord1a	chr11	1
1810034E14Rik	1810034E14Rik	chr13	1
1810037I17Rik	1810037I17Rik	chr3	1
1810041H14Rik	1810041H14Rik	chr14	-1
1810041L15Rik	1810041L15Rik	chr15	-1
1810043G02Rik	1810043G02Rik	chr10	1
1810043H04Rik	1810043H04Rik	chr11	1
1810044D09Rik	1810044D09Rik	chr6	1
1810046K07Rik	1810046K07Rik	chr9	-1
1810053B23Rik	1810053B23Rik	chr16	-1
1810055G02Rik	1810055G02Rik	chr19	1
1810058I24Rik	1810058I24Rik	chr6	1
1810062G17Rik	1810062G17Rik	chr3	1
1810062O18Rik	1810062O18Rik	chr14	1
1810063I02Rik	1810063I02Rik	chr11	1
1810064F22Rik	1810064F22Rik	chr9	-1
1810065E05Rik	1810065E05Rik	chr11	1
2010001A14Rik	2010001A14Rik	chr11	-1
2010003K11Rik	2010003K11Rik	chr19	-1
2010005H15Rik	2010005H15Rik	chr16	1
2010009K17Rik	2010009K17Rik	chr2	-1
2010010A06Rik	2010010A06Rik	chr18	-1
2010016I18Rik	2010016I18Rik	chr3	-1
2010106C02Rik	2010106C02Rik	chr17	-1
2010106E10Rik	2010106E10Rik	chrX	1
2010107E04Rik	2010107E04Rik	chr12	-1
2010107G12Rik	2010107G12Rik	chr6	-1
2010107G23Rik	2010107G23Rik	chr10	-1
2010109A12Rik	2010109A12Rik	chr5	1
2010109I03Rik	2010109I03Rik	chr15	-1
2010111I01Rik;Mir23b;Mir24-1;Mir27b	2010111I01Rik	chr13	1
2010111I01Rik;Mir23b;Mir24-1;Mir27b	Mir23b	chr13	1
2010111I01Rik;Mir23b;Mir24-1;Mir27b	Mir24-1	chr13	1
2010111I01Rik;Mir23b;Mir24-1;Mir27b	Mir27b	chr13	1
2010204K13Rik	2010204K13Rik	chrX	-1
2010300C02Rik	2010300C02Rik	chr1	-1
2010308F09Rik	2010308F09Rik	chrX	-1
2010310C07Rik	2010310C07Rik	chr6	1
2010315B03Rik	2010315B03Rik	chr9	-1
2010320M18Rik	2010320M18Rik	chr8	1
2200002D01Rik	2200002D01Rik	chr7	-1
2200002J24Rik	2200002J24Rik	chr7	1
2210010C04Rik	2210010C04Rik	chr6	-1
2210011C24Rik;Mir1199	2210011C24Rik	chr8	-1
2210011C24Rik;Mir1199	Mir1199	chr8	-1
2210013O21Rik	2210013O21Rik	chrX	1
2210016F16Rik	2210016F16Rik	chr13	-1
2210016L21Rik	2210016L21Rik	chr5	1
2210019I11Rik	2210019I11Rik	chr5	-1
2210039B01Rik	2210039B01Rik	chr12	1
2210404E10Rik	2210404E10Rik	chr19	1
2210404O09Rik	2210404O09Rik	chr17	-1
2210406O10Rik	2210406O10Rik	chr5	-1
2210407C18Rik	2210407C18Rik	chr11	-1
2210408F21Rik	2210408F21Rik	chr6	1
2210408I21Rik	2210408I21Rik	chr13	1
2210409D07Rik	2210409D07Rik	chr18	-1
2210409E12Rik	2210409E12Rik	chr11	1
2210414B05Rik	2210414B05Rik	chr4	1
2210416O15Rik;Cuedc1;Mrps23	2210416O15Rik	chr11	1
2210416O15Rik;Cuedc1;Mrps23	Cuedc1	chr11	1
