chrom	start	end	strand	gene_name
chr10	68004622	68004623	-1	1700040L02Rik
chr15	78501214	78501215	1	1700041B01Rik
chr9	57023081	57023082	1	1700041C23Rik
chr4	115845976	115845977	1	1700042G07Rik
chr18	49682942	49682943	1	1700044K03Rik
chr1	184230964	184230965	1	1700047M11Rik;AK047804
chr1	184218245	184218246	1	1700047M11Rik;AK047804
chr9	121846392	121846393	1	1700048O20Rik
chr9	121847093	121847094	1	1700048O20Rik
chr6	147638762	147638763	1	1700049E15Rik
chr7	28714448	28714449	-1	1700049G17Rik;BC061462
chr7	28712529	28712530	-1	1700049G17Rik;BC061462
chr10	71443437	71443438	-1	1700049L16Rik
chr12	82025433	82025434	-1	1700052I22Rik
chr11	105042746	105042747	-1	1700052K11Rik
chr6	112160701	112160702	1	1700054K19Rik
chr1	185857876	185857877	-1	1700056E22Rik
chr9	92204214	92204215	1	1700057G04Rik
chr9	92238288	92238289	1	1700057G04Rik
chr2	158017743	158017744	1	1700060C20Rik
chr17	57015055	57015056	1	1700061G19Rik
chr9	95758738	95758739	-1	1700065D16Rik
chr18	35886642	35886643	1	1700066B19Rik
chr13	58250137	58250138	1	1700066J03Rik;AK039557
chr1	57434463	57434464	1	1700066M21Rik
chr18	57693405	57693406	-1	1700066O22Rik;AK006909;AK016016
chr18	57693381	57693382	-1	1700066O22Rik;AK006909;AK016016
chr18	57693369	57693370	-1	1700066O22Rik;AK006909;AK016016
chr8	86525604	86525605	1	1700067K01Rik
chr17	48226581	48226582	1	1700067P10Rik
chr5	114174780	114174781	-1	1700069L16Rik
chr11	81387040	81387041	-1	1700071K01Rik
chr17	43729380	43729381	-1	1700071M16Rik;AK006933
chr6	145336144	145336145	1	1700073E17Rik;AK006943;BC049631
chr6	145336116	145336117	1	1700073E17Rik;AK006943;BC049631
chr6	40890555	40890556	-1	1700074P13Rik
chr9	105047411	105047412	-1	1700080E11Rik
chrX	49325948	49325949	-1	1700080O16Rik
chrX	49324223	49324224	-1	1700080O16Rik
chr2	30093150	30093151	-1	1700084E18Rik
chr15	33335693	33335694	-1	1700084J12Rik
chr12	75385262	75385263	1	1700086L19Rik
chr18	38409851	38409852	-1	1700086O06Rik
chr18	38410218	38410219	-1	1700086O06Rik
chr15	78971680	78971681	-1	1700088E04Rik
chr15	78971605	78971606	-1	1700088E04Rik
chr19	8815207	8815208	1	1700092M07Rik
chr11	23419941	23419942	-1	1700093K21Rik
chr11	23419194	23419195	-1	1700093K21Rik
chr3	89866717	89866718	1	1700094D03Rik;4933434E20Rik;AK217252
chr3	89856738	89856739	1	1700094D03Rik;4933434E20Rik;AK217252
chr3	89855557	89855558	1	1700094D03Rik;4933434E20Rik;AK217252
chr11	109208180	109208181	1	1700096J18Rik
chr5	25035835	25035836	1	1700096K18Rik
chr9	108295164	108295165	1	1700102P08Rik
chr14	77077374	77077375	1	1700108F19Rik
chr14	122632859	122632860	-1	1700108J01Rik
chr14	61924170	61924171	-1	1700109G14Rik
chr5	3571715	3571716	1	1700109H08Rik
chrX	67396762	67396763	-1	1700111N16Rik
chr14	22838933	22838934	1	1700112E06Rik
chr14	23403627	23403628	1	1700112E06Rik
chr10	86520790	86520791	1	1700113H08Rik
chr10	86668723	86668724	1	1700113H08Rik
chr7	134747958	134747959	-1	1700120K04Rik
chr12	107685875	107685876	-1	1700121N20Rik
chr19	6184409	6184410	1	1700123I01Rik;AK028710
chr5	139005921	139005922	-1	1700123K08Rik
chr6	96116198	96116199	-1	1700123L14Rik
chr14	55305007	55305008	1	1700123O20Rik
chr11	84984597	84984598	1	1700125H20Rik
chr11	84983905	84983906	1	1700125H20Rik
chr9	8221888	8221889	1	1700128F08Rik
chr14	59761729	59761730	-1	1700129C05Rik
chr19	8963392	8963393	1	1810009A15Rik;Lbhd1
chr6	40914770	40914771	1	1810009J06Rik
chr7	152394023	152394024	-1	1810010D01Rik
chr11	106889536	106889537	1	1810010H24Rik
chr14	33599148	33599149	1	1810011H11Rik
chr8	25549417	25549418	-1	1810011O10Rik
chr16	8830192	8830193	1	1810013L24Rik
chr10	86148271	86148272	1	1810014B01Rik
chr10	86148345	86148346	1	1810014B01Rik
chr10	86148525	86148526	1	1810014B01Rik
chr3	14611255	14611256	-1	1810022K09Rik
chr3	14611220	14611221	-1	1810022K09Rik
chr2	127034015	127034016	-1	1810024B03Rik
chr9	21397165	21397166	1	1810026J23Rik
chrX	12250671	12250672	-1	1810030O07Rik
chr11	116532973	116532974	1	1810032O08Rik;Snord1a
chr11	116535910	116535911	1	1810032O08Rik;Snord1a
chr3	122627314	122627315	1	1810037I17Rik
chr15	84277526	84277527	-1	1810041L15Rik
chr15	84276974	84276975	-1	1810041L15Rik
chr10	77441394	77441395	1	1810043G02Rik
chr10	77444328	77444329	1	1810043G02Rik
chr11	119960247	119960248	1	1810043H04Rik
chr9	51137021	51137022	-1	1810046K07Rik
chr19	3708332	3708333	1	1810055G02Rik
chr19	3708410	3708411	1	1810055G02Rik
chr6	35202698	35202699	1	1810058I24Rik
chr6	35202731	35202732	1	1810058I24Rik
chr14	21365514	21365515	1	1810062O18Rik
chr9	22018303	22018304	-1	1810064F22Rik
chr11	58234612	58234613	1	1810065E05Rik
chr19	4498582	4498583	-1	2010003K11Rik
chr16	36221647	36221648	1	2010005H15Rik
chr3	106288830	106288831	-1	2010016I18Rik
chrX	109608882	109608883	1	2010106E10Rik
chr12	113205187	113205188	-1	2010107E04Rik
chr6	34927998	34927999	-1	2010107G12Rik
chr10	61573760	61573761	-1	2010107G23Rik
chr15	74712133	74712134	-1	2010109I03Rik
chr13	63116293	63116294	1	2010111I01Rik;Mir23b;Mir24-1;Mir27b
chr13	63116385	63116386	1	2010111I01Rik;Mir23b;Mir24-1;Mir27b
chr13	63066252	63066253	1	2010111I01Rik;Mir23b;Mir24-1;Mir27b
chr13	63401791	63401792	1	2010111I01Rik;Mir23b;Mir24-1;Mir27b
chr13	63402515	63402516	1	2010111I01Rik;Mir23b;Mir24-1;Mir27b
chr13	63402019	63402020	1	2010111I01Rik;Mir23b;Mir24-1;Mir27b
chr1	37776655	37776656	-1	2010300C02Rik
chr1	37682912	37682913	-1	2010300C02Rik
chr8	73300760	73300761	1	2010320M18Rik
chr7	30033485	30033486	-1	2200002D01Rik
chr7	31483944	31483945	1	2200002J24Rik
chr6	40985507	40985508	-1	2210010C04Rik
chr8	86535531	86535532	-1	2210011C24Rik;Mir1199
chrX	150158096	150158097	1	2210013O21Rik
chr13	58486585	58486586	-1	2210016F16Rik
chr5	115392210	115392211	1	2210016L21Rik
chr11	58426993	58426994	-1	2210407C18Rik
chr13	77274796	77274797	1	2210408I21Rik
chr11	88833951	88833952	1	2210409E12Rik
chr11	87912647	87912648	1	2210416O15Rik;Cuedc1;Mrps23
chr11	87983066	87983067	1	2210416O15Rik;Cuedc1;Mrps23
chr11	87975762	87975763	1	2210416O15Rik;Cuedc1;Mrps23
chr11	88017919	88017920	1	2210416O15Rik;Cuedc1;Mrps23
chr11	88017929	88017930	1	2210416O15Rik;Cuedc1;Mrps23
chr5	149553415	149553416	1	2210417A02Rik
chr2	175468154	175468155	-1	2210418O10Rik;Gm14296
chr2	176712498	176712499	-1	2210418O10Rik;Gm14296
chr17	35704429	35704430	1	2300002M23Rik
chr11	99699379	99699380	-1	2300003K06Rik
chr15	74577116	74577117	-1	2300005B03Rik
chr9	63247050	63247051	-1	2300009A05Rik
chr9	63247038	63247039	-1	2300009A05Rik
chr2	163298280	163298281	1	2310001K24Rik
chr4	73596749	73596750	-1	2310002L09Rik
chr1	95057446	95057447	-1	2310007B03Rik
chr1	95057524	95057525	-1	2310007B03Rik
chr1	140753430	140753431	-1	2310009B15Rik
chr1	140753095	140753096	-1	2310009B15Rik
chr10	79783292	79783293	-1	2310011J03Rik
chr12	81233830	81233831	-1	2310015A10Rik
chr12	81233580	81233581	-1	2310015A10Rik
chr7	28338313	28338314	1	2310022A10Rik
chr7	28345494	28345495	1	2310022A10Rik
chr8	127187268	127187269	-1	2310022B05Rik
chr9	50554625	50554626	-1	2310030G06Rik;AK011526
chr11	59021862	59021863	1	2310033P09Rik
chr16	88759091	88759092	1	2310034C09Rik
chr1	107560437	107560438	1	2310035C23Rik
chr1	107589460	107589461	1	2310035C23Rik
chr8	87550731	87550732	1	2310036O22Rik
chr17	46909583	46909584	1	2310039H08Rik
chr8	72676676	72676677	1	2310045n01rik-mef2b;Borcs8;Mef2b
chr8	72663611	72663612	1	2310045n01rik-mef2b;Borcs8;Mef2b
chr3	92674126	92674127	-1	2310050C09Rik
chr10	28706111	28706112	-1	2310057J18Rik
chr7	138506211	138506212	-1	2310057M21Rik
chr16	88774450	88774451	-1	2310057N15Rik
chr17	36034322	36034323	-1	2310061I04Rik
chr17	36034064	36034065	-1	2310061I04Rik
chr16	88708206	88708207	-1	2310061N02Rik
chr15	99803717	99803718	-1	2310068J16Rik
chr16	88627910	88627911	-1	2310079G19Rik
chr7	51502091	51502092	1	2410002F23Rik;Snord88a
chr7	51502095	51502096	1	2410002F23Rik;Snord88a
chr7	51502156	51502157	1	2410002F23Rik;Snord88a
chr7	51505390	51505391	1	2410002F23Rik;Snord88a
chr7	51505519	51505520	1	2410002F23Rik;Snord88a
chr3	145600995	145600996	1	2410004B18Rik
chr12	17018532	17018533	-1	2410004P03Rik
chr11	62416378	62416379	1	2410006H16Rik;Snord65
chr11	62418031	62418032	1	2410006H16Rik;Snord65
chr17	56749193	56749194	-1	2410015M20Rik
chr12	85291557	85291558	1	2410016O06Rik
chr17	36281962	36281963	1	2410017I17Rik
chr14	57430825	57430826	1	2410022M11Rik
chr15	8119105	8119106	1	2410089E03Rik
chr15	8144300	8144301	1	2410089E03Rik
chr5	118695235	118695236	1	2410131K14Rik
chr17	37118181	37118182	-1	2410137M14Rik
chr13	66450213	66450214	-1	2410141K09Rik;AK021218;AK049221;AK145544;Zfp640
chr13	66502808	66502809	-1	2410141K09Rik;AK021218;AK049221;AK145544;Zfp640
chr13	65913993	65913994	-1	2410141K09Rik;AK021218;AK049221;AK145544;Zfp640
chr13	66799169	66799170	-1	2410141K09Rik;AK021218;AK049221;AK145544;Zfp640
chr16	18836672	18836673	1	2510002D24Rik
chr16	21694737	21694738	-1	2510009E07Rik
chr4	147315003	147315004	1	2510039O18Rik;AK206234
chr6	13821482	13821483	-1	2610001J05Rik
chrX	105011672	105011673	-1	2610002M06Rik
chr8	19784732	19784733	1	2610005L07Rik;5330429B09Rik;AK009182;AK035187;BC010587
chr8	19984374	19984375	-1	2610005L07Rik;AK081879
chr10	78560344	78560345	-1	2610008E11Rik
chr7	126937643	126937644	1	2610020H08Rik
chr4	125599553	125599554	-1	2610028E06Rik
chr10	75911825	75911826	1	2610028H24Rik
chr11	113063151	113063152	-1	2610035D17Rik
chr11	113034355	113034356	-1	2610035D17Rik
chr14	3518337	3518338	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	4229104	4229105	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	3920623	3920624	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	4606931	4606932	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	3049285	3049286	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	3055049	3055050	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	3134898	3134899	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	3189213	3189214	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	3348099	3348100	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	3533790	3533791	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	3773193	3773194	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	4534030	4534031	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	4301223	4301224	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	4844775	4844776	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	5252108	5252109	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	5267524	5267525	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	4974180	4974181	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	5119812	5119813	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	6452626	6452627	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	6805243	6805244	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr14	6909215	6909216	1	2610042L04Rik;BC055351;Gm10413;Gm2897;Gm3383;Gm5795
chr3	17689920	17689921	1	2610100L16Rik
chr1	9621172	9621173	-1	2610203C22Rik
chr4	10801644	10801645	1	2610301B20Rik;AK045565
chr4	147016616	147016617	-1	2610305D13Rik
chr6	86799433	86799434	-1	2610306M01Rik
chr16	17125198	17125199	-1	2610318N02Rik
chr11	78075255	78075256	1	2610507B11Rik
chr5	115263984	115263985	-1	2610524H06Rik
chr5	115273476	115273477	-1	2610524H06Rik
chr4	118199879	118199880	1	2610528J11Rik
chr8	63369247	63369248	1	2700029M09Rik
chr18	62916000	62916001	-1	2700046A07Rik
chr19	32463705	32463706	1	2700046G09Rik
chr12	72237834	72237835	1	2700049A03Rik
chr14	20643044	20643045	-1	2700060E02Rik
chr18	24629371	24629372	1	2700062C07Rik
chr14	63665827	63665828	1	2700070H01Rik;Defb42
chr19	7492114	7492115	1	2700081O15Rik;Mir6991
chr19	7495517	7495518	1	2700081O15Rik;Mir6991
chr2	84510864	84510865	-1	2700094K13Rik
chr12	56181096	56181097	-1	2700097O09Rik;BC016540
chr12	56154713	56154714	-1	2700097O09Rik;BC016540
chr17	95149439	95149440	1	2700099C18Rik
chr11	63892985	63892986	1	2810001G20Rik
chr2	94246863	94246864	1	2810002D19Rik
chr8	127386928	127386929	-1	2810004N23Rik
chr5	124778097	124778098	1	2810006K23Rik
chr11	58680741	58680742	1	2810021J22Rik
chr1	159342482	159342483	1	2810025M15Rik
chr12	5383307	5383308	1	2810032G03Rik
chr3	88489715	88489716	1	2810403A07Rik
chrX	106029816	106029817	1	2810403D21Rik
chrX	106029995	106029996	1	2810403D21Rik
chr2	115901831	115901832	-1	2810405F15Rik
chr11	69714487	69714488	-1	2810408A11Rik
chr11	120051169	120051170	-1	2810410L24Rik
chr9	65738129	65738130	1	2810417H13Rik
chr8	73030637	73030638	-1	2810428I15Rik
chr11	102485729	102485730	-1	2810433D01Rik
chr6	134847978	134847979	1	2810454H06Rik
chr1	87942437	87942438	1	2810459M11Rik
chr6	149257935	149257936	1	2810474O19Rik
chr5	24606792	24606793	1	2900005J15Rik
chr16	13986729	13986730	1	2900011O08Rik
chr5	113592332	113592333	-1	2900026A02Rik
chr11	117472560	117472561	1	2900041M22Rik
chr9	46721685	46721686	1	2900052N01Rik
chr1	120355841	120355842	-1	2900060B14Rik
chr9	112136780	112136781	1	2900079G21Rik
chr9	112159077	112159078	1	2900079G21Rik
chr9	112136884	112136885	1	2900079G21Rik
chr7	13097899	13097900	1	2900092C05Rik
chr1	42757180	42757181	1	2900092D14Rik
chr2	156218714	156218715	-1	2900097C17Rik
chr9	109733942	109733943	-1	3000002C10Rik
chr11	49988352	49988353	1	3010026O09Rik
chr16	13671950	13671951	1	3110001I22Rik;Bfar
chr18	12327238	12327239	1	3110002H16Rik
chr1	122017763	122017764	1	3110009E18Rik
chr6	119798210	119798211	1	3110021A11Rik
chr1	9591347	9591348	1	3110035E14Rik
chr12	50491645	50491646	1	3110039M20Rik;Foxg1
chr12	50483993	50483994	1	3110039M20Rik;Foxg1
chr12	50483869	50483870	1	3110039M20Rik;Foxg1
chr12	50486160	50486161	1	3110039M20Rik;Foxg1
chr7	88934338	88934339	-1	3110040N11Rik
chr4	35173128	35173129	-1	3110043O21Rik
chr4	35173371	35173372	-1	3110043O21Rik
chr17	21787577	21787578	1	3110052M02Rik
chr6	34828064	34828065	-1	3110062M04Rik;AK077501
chr6	34827113	34827114	-1	3110062M04Rik;AK077501
chr13	120277190	120277191	-1	3110070M22Rik
chr1	89366838	89366839	1	3110079O15Rik
chr5	139936487	139936488	-1	3110082I17Rik
chr2	115337936	115337937	-1	3110099E03Rik
chr12	100584607	100584608	1	3300002A11Rik
chr2	150188500	150188501	-1	3300002I08Rik
chr14	33498457	33498458	-1	3425401B19Rik
chr14	50403041	50403042	-1	3632451O06Rik;AK087604
chr14	50301898	50301899	-1	3632451O06Rik;AK087604
chrX	131543747	131543748	-1	3632454L22Rik;Zmat1
chrX	131559860	131559861	-1	3632454L22Rik;Zmat1
chrX	131513166	131513167	-1	3632454L22Rik;Zmat1
chrX	131515972	131515973	-1	3632454L22Rik;Zmat1
chrX	53389748	53389749	1	3830403N18Rik
chr14	13116722	13116723	1	3830406C13Rik
chr14	13116771	13116772	1	3830406C13Rik
chr13	107812649	107812650	1	3830408C21Rik;AK052571
chr13	107822855	107822856	1	3830408C21Rik;AK052571
chrX	61426722	61426723	1	3830417A13Rik
chr8	10928456	10928457	-1	3930402G23Rik
chr19	29038643	29038644	-1	4430402I18Rik
chr19	29038162	29038163	-1	4430402I18Rik
chr19	29042219	29042220	-1	4430402I18Rik
