gene_name	geneSymbol	chrom
1110006O24Rik	1110006O24Rik	chr5
1110007A13Rik;Mcmbp	1110007A13Rik	chr7
1110007A13Rik;Mcmbp	Mcmbp	chr7
1110007C09Rik	1110007C09Rik	chr13
1110008F13Rik	1110008F13Rik	chr2
1110008J03Rik	1110008J03Rik	chr5
1110008L16Rik	1110008L16Rik	chr12
1110008P14Rik	1110008P14Rik	chr2
1110012D08Rik	1110012D08Rik	chr10
1110012J17Rik	1110012J17Rik	chr17
1110012L19Rik	1110012L19Rik	chrX
1110013L07Rik;Fam189b	1110013L07Rik	chr3
1110013L07Rik;Fam189b	Fam189b	chr3
1110014N23Rik;Ffr;Tm7sf2	1110014N23Rik	chr19
1110014N23Rik;Ffr;Tm7sf2	Ffr	chr19
1110014N23Rik;Ffr;Tm7sf2	Tm7sf2	chr19
1110017D15Rik;Smrp1	1110017D15Rik	chr4
1110017D15Rik;Smrp1	Smrp1	chr4
1110017F19Rik	1110017F19Rik	chr11
1110018G07Rik;mKIAA0317	1110018G07Rik	chr12
1110018G07Rik;mKIAA0317	mKIAA0317	chr12
1110018H23Rik;Ptx4	1110018H23Rik	chr17
1110018H23Rik;Ptx4	Ptx4	chr17
1110018J18Rik	1110018J18Rik	chr13
1110020A21Rik	1110020A21Rik	chr17
1110020G09Rik	1110020G09Rik	chr15
1110021J02Rik	1110021J02Rik	chr17
1110021L09Rik	1110021L09Rik	chr10
1110028C15Rik	1110028C15Rik	chr1
1110031I02Rik	1110031I02Rik	chr11
1110032A03Rik	1110032A03Rik	chr9
1110032A04Rik	1110032A04Rik	chr3
1110032F04Rik	1110032F04Rik	chr3
1110034A24Rik;Rpl36al	1110034A24Rik	chr12
1110034A24Rik;Rpl36al	Rpl36al	chr12
1110034B05Rik	1110034B05Rik	chr1
1110034G24Rik	1110034G24Rik	chr2
1110037F02Rik	1110037F02Rik	chr4
1110038B12Rik	1110038B12Rik	chr17
1110038D17Rik	1110038D17Rik	chr10
1110038F14Rik	1110038F14Rik	chr15
1110049B09Rik;Cdhr3	1110049B09Rik	chr12
1110049B09Rik;Cdhr3	Cdhr3	chr12
1110049F12Rik	1110049F12Rik	chr4
1110051M20Rik	1110051M20Rik	chr2
1110054O05Rik	1110054O05Rik	chr4
1110057K04Rik	1110057K04Rik	chr12
1110058L19Rik	1110058L19Rik	chr1
1110059E24Rik	1110059E24Rik	chr19
1110059G10Rik;mKIAA1143	1110059G10Rik	chr9
1110059G10Rik;mKIAA1143	mKIAA1143	chr9
1110059M19Rik	1110059M19Rik	chrX
1110065P20Rik	1110065P20Rik	chr4
1110067D22Rik	1110067D22Rik	chr11
1190002H23Rik	1190002H23Rik	chr14
1190002N15Rik	1190002N15Rik	chr9
1190003J15Rik	1190003J15Rik	chr7
1190003K10Rik	1190003K10Rik	chr13
1190005F20Rik;Trm1l	1190005F20Rik	chr1
1190005F20Rik;Trm1l	Trm1l	chr1
1190005I06Rik	1190005I06Rik	chr8
1190007F08Rik	1190007F08Rik	chr4
1190007I07Rik	1190007I07Rik	chr10
1200002N14Rik;Dram1	1200002N14Rik	chr10
1200002N14Rik;Dram1	Dram1	chr10
1200009I06Rik	1200009I06Rik	chr12
1200011I18Rik	1200011I18Rik	chr14
1200011M11Rik;Smg8	1200011M11Rik	chr11
1200011M11Rik;Smg8	Smg8	chr11
1200014J11Rik	1200014J11Rik	chr11
1200016B10Rik	1200016B10Rik	chr1
1300001I01Rik	1300001I01Rik	chr11
1300002K09Rik	1300002K09Rik	chr4
1300010F03Rik	1300010F03Rik	chr14
1300014I06Rik	1300014I06Rik	chr13
1300017J02Rik	1300017J02Rik	chr9
1300018I17Rik	1300018I17Rik	chr8
1300018J18Rik	1300018J18Rik	chr15
14-3-3 gamma;Ywhag	14-3-3 gamma	chr5
14-3-3 gamma;Ywhag	Ywhag	chr5
1500001A10Rik;Srrm4	1500001A10Rik	chr5
1500001A10Rik;Srrm4	Srrm4	chr5
1500001M20Rik	1500001M20Rik	chr6
1500002O20Rik	1500002O20Rik	chr7
1500003O03Rik	1500003O03Rik	chr2
1500004A13Rik	1500004A13Rik	chr3
1500009C09Rik	1500009C09Rik	chr15
1500009L16Rik	1500009L16Rik	chr10
1500010J02Rik;Ctc1	1500010J02Rik	chr11
1500010J02Rik;Ctc1	Ctc1	chr11
1500011B03Rik;2610524H06Rik	1500011B03Rik	chr5
1500011B03Rik;2610524H06Rik	2610524H06Rik	chr5
1500011H22Rik	1500011H22Rik	chr5
1500011K16Rik	1500011K16Rik	chr2
1500012F01Rik	1500012F01Rik	chr2
1500015A07Rik	1500015A07Rik	chr18
1500015O10Rik	1500015O10Rik	chr1
1500017E21Rik	1500017E21Rik	chr19
1500031L02Rik	1500031L02Rik	chr16
1500032L24Rik	1500032L24Rik	chr15
1520402A15Rik	1520402A15Rik	chr4
1600002H07Rik	1600002H07Rik	chr17
1600002K03Rik	1600002K03Rik	chr10
1600012F09Rik	1600012F09Rik	chr13
1600012H06Rik	1600012H06Rik	chr17
1600012P17Rik	1600012P17Rik	chr1
1600014C10Rik	1600014C10Rik	chr7
1600014C23Rik	1600014C23Rik	chr17
1600014K23Rik	1600014K23Rik	chrX
1600015I10Rik	1600015I10Rik	chr6
1600016N20Rik	1600016N20Rik	chr7
1600021P15Rik	1600021P15Rik	chr16
1600027N09Rik	1600027N09Rik	chr2
1600029D21Rik	1600029D21Rik	chr9
1600029I14Rik;Txndc6	1600029I14Rik	chr9
1600029I14Rik;Txndc6	Txndc6	chr9
1600029O15Rik	1600029O15Rik	chr9
1700001C02Rik	1700001C02Rik	chr5
1700001C19Rik	1700001C19Rik	chr17
1700001F09Rik	1700001F09Rik	chr14
1700001G17Rik	1700001G17Rik	chr1
1700001J03Rik	1700001J03Rik	chr5
1700001J11Rik	1700001J11Rik	chr9
1700001K19Rik	1700001K19Rik	chr12
1700001K23Rik	1700001K23Rik	chr19
1700001L05Rik;AK005608	1700001L05Rik	chr15
1700001L05Rik;AK005608	AK005608	chr15
1700001L19Rik	1700001L19Rik	chr13
1700001O22Rik	1700001O22Rik	chr2
1700001P01Rik	1700001P01Rik	chr11
1700003E16Rik	1700003E16Rik	chr6
1700003F12Rik	1700003F12Rik	chr2
1700003G18Rik	1700003G18Rik	chr7
1700003H04Rik	1700003H04Rik	chr3
1700003M02Rik	1700003M02Rik	chr4
1700006A11Rik	1700006A11Rik	chr3
1700006E09Rik	1700006E09Rik	chr11
1700007B14Rik	1700007B14Rik	chr8
1700007E06Rik	1700007E06Rik	chr15
1700007G11Rik	1700007G11Rik	chr5
1700007I08Rik	1700007I08Rik	chr2
1700007K09Rik	1700007K09Rik	chr7
1700007K13Rik	1700007K13Rik	chr2
1700008A04Rik	1700008A04Rik	chr11
1700008F21Rik	1700008F21Rik	chr8
1700008I05Rik	1700008I05Rik	chrX
1700008J07Rik	1700008J07Rik	chr7
1700008O03Rik	1700008O03Rik	chr7
1700008P02Rik	1700008P02Rik	chr3
1700008P20Rik	1700008P20Rik	chr7
1700009J07Rik	1700009J07Rik	chr10
1700009N14Rik	1700009N14Rik	chr4
1700009P17Rik	1700009P17Rik	chr1
1700010B08Rik	1700010B08Rik	chr2
1700010D01Rik	1700010D01Rik	chrX
1700010H22Rik	1700010H22Rik	chr5
1700010I14Rik	1700010I14Rik	chr17
1700010M22Rik	1700010M22Rik	chr2
1700011A15Rik	1700011A15Rik	chr15
1700011E24Rik	1700011E24Rik	chr17
1700011F03Rik	1700011F03Rik	chr6
1700011F14Rik	1700011F14Rik	chr19
1700011H14Rik	1700011H14Rik	chr14
1700011I03Rik	1700011I03Rik	chr18
1700011L22Rik	1700011L22Rik	chr8
1700011M02Rik	1700011M02Rik	chrX
1700012A03Rik	1700012A03Rik	chr6
1700012A16Rik	1700012A16Rik	chr1
1700012B07Rik	1700012B07Rik	chr11
1700012B09Rik	1700012B09Rik	chr9
1700012B15Rik	1700012B15Rik	chr12
1700012D14Rik;AK031468	1700012D14Rik	chr7
1700012D14Rik;AK031468	AK031468	chr7
1700012L04Rik	1700012L04Rik	chrX
1700012P22Rik	1700012P22Rik	chr4
1700013B16Rik;Fam75d3	1700013B16Rik	chr13
1700013B16Rik;Fam75d3	Fam75d3	chr13
1700013D24Rik	1700013D24Rik	chr6
1700013F07Rik	1700013F07Rik	chr3
1700013G24Rik	1700013G24Rik	chr4
1700013H16Rik	1700013H16Rik	chrX
1700014N06Rik	1700014N06Rik	chrX
1700015E13Rik	1700015E13Rik	chr1
1700015F17Rik	1700015F17Rik	chr5
1700015G11Rik	1700015G11Rik	chr7
1700016C15Rik	1700016C15Rik	chr1
1700016D06Rik	1700016D06Rik	chr8
1700016H13Rik	1700016H13Rik	chr5
1700016K19Rik	1700016K19Rik	chr11
1700016M24Rik	1700016M24Rik	chr15
1700017B05Rik	1700017B05Rik	chr9
1700017D01Rik	1700017D01Rik	chr19
1700017N19Rik	1700017N19Rik	chr10
1700018A04Rik;AK142058	1700018A04Rik	chr13
1700018A04Rik;AK142058	AK142058	chr13
1700018A14Rik	1700018A14Rik	chr18
1700018B08Rik	1700018B08Rik	chr8
1700018B24Rik	1700018B24Rik	chr3
1700018C11Rik	1700018C11Rik	chr4
1700018F24Rik	1700018F24Rik	chr5
1700018L02Rik	1700018L02Rik	chr19
1700018L24Rik	1700018L24Rik	chr8
1700019A02Rik	1700019A02Rik	chr1
1700019B03Rik	1700019B03Rik	chr8
1700019D03Rik;AK217058	1700019D03Rik	chr1
1700019D03Rik;AK217058	AK217058	chr1
1700019E19Rik	1700019E19Rik	chr12
1700019G17Rik	1700019G17Rik	chr6
1700019L03Rik	1700019L03Rik	chr2
1700019M22Rik	1700019M22Rik	chr12
1700019N12Rik	1700019N12Rik	chr19
1700019N19Rik	1700019N19Rik	chr19
1700019O17Rik	1700019O17Rik	chr1
1700020A23Rik	1700020A23Rik	chr2
1700020C07Rik	1700020C07Rik	chr2
1700020D05Rik	1700020D05Rik	chr19
1700020I14Rik	1700020I14Rik	chr2
1700020L24Rik	1700020L24Rik	chr11
1700020N01Rik	1700020N01Rik	chr10
1700020N18Rik	1700020N18Rik	chr1
1700020O03Rik;Kiaa1152	1700020O03Rik	chr12
1700020O03Rik;Kiaa1152	Kiaa1152	chr12
1700021C14Rik;Rhbg	1700021C14Rik	chr3
1700021C14Rik;Rhbg	Rhbg	chr3
1700021F05Rik	1700021F05Rik	chr10
1700021F07Rik	1700021F07Rik	chr2
1700021K19Rik;mKIAA0226	1700021K19Rik	chr16
1700021K19Rik;mKIAA0226	mKIAA0226	chr16
1700022A21Rik	1700022A21Rik	chr5
1700022I11Rik	1700022I11Rik	chr4
1700022P22Rik	1700022P22Rik	chr1
1700023A16Rik	1700023A16Rik	chr6
1700023D19Rik;Izumo2	1700023D19Rik	chr7
1700023D19Rik;Izumo2	Izumo2	chr7
1700023E05Rik	1700023E05Rik	chr5
1700023F06Rik	1700023F06Rik	chr11
1700023I07Rik	1700023I07Rik	chrX
1700024G13Rik	1700024G13Rik	chr14
1700024P04Rik	1700024P04Rik	chr13
1700024P16Rik	1700024P16Rik	chr4
1700025C18Rik	1700025C18Rik	chr2
1700025E21Rik	1700025E21Rik	chr6
1700025F22Rik	1700025F22Rik	chr19
1700025G04Rik;ENSMUSG00000073540	1700025G04Rik	chr1
1700025G04Rik;ENSMUSG00000073540	ENSMUSG00000073540	chr1
1700025K23Rik	1700025K23Rik	chr10
1700026D08Rik	1700026D08Rik	chr7
1700026D11Rik;AK076752;AK161431	1700026D11Rik	chr2
1700026D11Rik;AK076752;AK161431	AK076752	chr2
1700026D11Rik;AK076752;AK161431	AK161431	chr2
1700026J04Rik	1700026J04Rik	chr13
1700026L06Rik	1700026L06Rik	chr2
1700027A23Rik	1700027A23Rik	chr3
1700027D21Rik	1700027D21Rik	chr10
1700028B04Rik	1700028B04Rik	chr7
1700028J19Rik	1700028J19Rik	chr7
1700028K03Rik;A830010M20Rik	1700028K03Rik	chr5
1700028K03Rik;A830010M20Rik	A830010M20Rik	chr5
1700028M03Rik	1700028M03Rik	chr3
1700028P14Rik	1700028P14Rik	chr19
1700029F09Rik	1700029F09Rik	chr1
1700029F12Rik	1700029F12Rik	chr13
1700029G01Rik	1700029G01Rik	chr4
1700029H14Rik	1700029H14Rik	chr8
1700029I01Rik;Gm13139;Gm13152	1700029I01Rik	chr4
1700029I01Rik;Gm13139;Gm13152	Gm13139	chr4
1700029I01Rik;Gm13139;Gm13152	Gm13152	chr4
1700029I15Rik	1700029I15Rik	chr2
1700029J07Rik	1700029J07Rik	chr8
1700029J11Rik	1700029J11Rik	chr2
1700029M20Rik	1700029M20Rik	chr4
1700029P11Rik	1700029P11Rik	chr15
1700030C10Rik	1700030C10Rik	chr12
1700030F18Rik	1700030F18Rik	chr15
1700030J22Rik	1700030J22Rik	chr8
1700030K09Rik	1700030K09Rik	chr8
1700031F05Rik	1700031F05Rik	chrX
1700031F10Rik	1700031F10Rik	chr6
1700031M16Rik	1700031M16Rik	chr15
1700034E13Rik	1700034E13Rik	chr18
1700034F02Rik	1700034F02Rik	chr11
1700034H14Rik	1700034H14Rik	chr18
1700034H15Rik;AK076925	1700034H15Rik	chr1
1700034H15Rik;AK076925	AK076925	chr1
1700034I23Rik	1700034I23Rik	chr3
1700034J05Rik	1700034J05Rik	chr6
1700034O15Rik	1700034O15Rik	chr6
1700037C18Rik	1700037C18Rik	chr16
1700037H04Rik	1700037H04Rik	chr2
1700039E15Rik	1700039E15Rik	chr7
1700040I03Rik	1700040I03Rik	chr6
1700040L02Rik	1700040L02Rik	chr10
1700041B01Rik	1700041B01Rik	chr15
1700041C02Rik;AK005616;Ccdc30	1700041C02Rik	chr4
1700041C02Rik;AK005616;Ccdc30	AK005616	chr4
1700041C02Rik;AK005616;Ccdc30	Ccdc30	chr4
1700041C23Rik	1700041C23Rik	chr9
1700042B14Rik	1700042B14Rik	chrX
1700042G07Rik	1700042G07Rik	chr4
1700044K03Rik	1700044K03Rik	chr18
1700045I19Rik	1700045I19Rik	chrX
1700047M11Rik;AK047804	1700047M11Rik	chr1
1700047M11Rik;AK047804	AK047804	chr1
1700048O20Rik	1700048O20Rik	chr9
1700049E15Rik	1700049E15Rik	chr6
1700049E17Rik1	1700049E17Rik1	chr14
1700049G17Rik	1700049G17Rik	chr7
1700049L16Rik	1700049L16Rik	chr10
1700052I22Rik	1700052I22Rik	chr12
1700052K11Rik	1700052K11Rik	chr11
1700052N19Rik	1700052N19Rik	chr10
1700054K19Rik	1700054K19Rik	chr6
1700054N08Rik	1700054N08Rik	chr8
1700054O13Rik	1700054O13Rik	chrX
1700056E22Rik	1700056E22Rik	chr1
1700057G04Rik	1700057G04Rik	chr9
1700057K13Rik	1700057K13Rik	chr1
1700058C13Rik	1700058C13Rik	chr2
1700058G18Rik	1700058G18Rik	chr10
1700060C20Rik	1700060C20Rik	chr2
1700061G19Rik	1700061G19Rik	chr17
1700061J05Rik	1700061J05Rik	chr15
1700065D16Rik;AK006889	1700065D16Rik	chr9
1700065D16Rik;AK006889	AK006889	chr9
1700065I17Rik	1700065I17Rik	chr18
1700066B19Rik	1700066B19Rik	chr18
1700066M21Rik	1700066M21Rik	chr1
1700066O22Rik;AK006909;AK016016	1700066O22Rik	chr18
1700066O22Rik;AK006909;AK016016	AK006909	chr18
1700066O22Rik;AK006909;AK016016	AK016016	chr18
1700067K01Rik	1700067K01Rik	chr8
1700067P10Rik	1700067P10Rik	chr17
1700069L16Rik	1700069L16Rik	chr5
1700071K01Rik	1700071K01Rik	chr11
1700072E05Rik	1700072E05Rik	chrX
1700073E17Rik;AK006943;BC049631	1700073E17Rik	chr6
1700073E17Rik;AK006943;BC049631	AK006943	chr6
1700073E17Rik;AK006943;BC049631	BC049631	chr6
1700074P13Rik	1700074P13Rik	chr6
1700080E11Rik	1700080E11Rik	chr9
1700080O16Rik	1700080O16Rik	chrX
1700081L11Rik;mKIAA1267	1700081L11Rik	chr11
1700081L11Rik;mKIAA1267	mKIAA1267	chr11
1700084C01Rik	1700084C01Rik	chr1
1700084E18Rik	1700084E18Rik	chr2
1700084J12Rik	1700084J12Rik	chr15
1700086L19Rik	1700086L19Rik	chr12
1700086O06Rik	1700086O06Rik	chr18
1700088E04Rik	1700088E04Rik	chr15
1700090G07Rik	1700090G07Rik	chr17
1700092M07Rik	1700092M07Rik	chr19
1700093K21Rik	1700093K21Rik	chr11
1700094C09Rik	1700094C09Rik	chr8
1700094D03Rik	1700094D03Rik	chr3
1700096J18Rik	1700096J18Rik	chr11
1700096K18Rik	1700096K18Rik	chr5
1700101E01Rik	1700101E01Rik	chr2
1700102P08Rik	1700102P08Rik	chr9
1700106J16Rik	1700106J16Rik	chr11
1700106N22Rik	1700106N22Rik	chr17
1700108F19Rik	1700108F19Rik	chr14
1700108J01Rik	1700108J01Rik	chr14
1700108M19Rik	1700108M19Rik	chr12
1700109F18Rik	1700109F18Rik	chr2
1700109G14Rik	1700109G14Rik	chr14
1700109H08Rik	1700109H08Rik	chr5
1700110M21Rik	1700110M21Rik	chr14
1700111N16Rik	1700111N16Rik	chrX
1700112E06Rik	1700112E06Rik	chr14
1700113H08Rik	1700113H08Rik	chr10
1700113I22Rik	1700113I22Rik	chr11
1700120K04Rik	1700120K04Rik	chr7
1700121N20Rik	1700121N20Rik	chr12
1700123I01Rik;LOC622554	1700123I01Rik	chr19
1700123I01Rik;LOC622554	LOC622554	chr19
1700123K08Rik	1700123K08Rik	chr5
1700123L14Rik	1700123L14Rik	chr6
1700123O20Rik	1700123O20Rik	chr14
1700125D06Rik	1700125D06Rik	chr4
1700125H20Rik	1700125H20Rik	chr11
1700128F08Rik	1700128F08Rik	chr9
1700129C05Rik	1700129C05Rik	chr14
1810006K21Rik	1810006K21Rik	chr19
1810008A18Rik	1810008A18Rik	chr10
1810009A15Rik	1810009A15Rik	chr19
1810009J06Rik	1810009J06Rik	chr6
1810010D01Rik	1810010D01Rik	chr7
1810010H24Rik	1810010H24Rik	chr11
1810011H11Rik	1810011H11Rik	chr14
1810011O10Rik	1810011O10Rik	chr8
1810012P15Rik	1810012P15Rik	chr11
1810013D10Rik	1810013D10Rik	chr5
1810013L24Rik	1810013L24Rik	chr16
1810014B01Rik	1810014B01Rik	chr10
1810014F10Rik;LE51	1810014F10Rik	chr7
1810014F10Rik;LE51	LE51	chr7
1810019J16Rik	1810019J16Rik	chr4
1810020D17Rik	1810020D17Rik	chr7
1810022C23Rik	1810022C23Rik	chr13
1810022K09Rik	1810022K09Rik	chr3
1810024B03Rik	1810024B03Rik	chr2
1810026J23Rik	1810026J23Rik	chr9
1810027O10Rik	1810027O10Rik	chr11
1810029B16Rik	1810029B16Rik	chr8
1810030J14Rik	1810030J14Rik	chr1
1810030N24Rik	1810030N24Rik	chr4
1810030O07Rik	1810030O07Rik	chrX
1810031K17Rik	1810031K17Rik	chr1
1810032O08Rik;Snord1a	1810032O08Rik	chr11
1810032O08Rik;Snord1a	Snord1a	chr11
1810033B17Rik	1810033B17Rik	chr8
1810035L17Rik;Slirp	1810035L17Rik	chr12
1810035L17Rik;Slirp	Slirp	chr12
1810037I17Rik	1810037I17Rik	chr3
1810041L15Rik	1810041L15Rik	chr15
1810043G02Rik	1810043G02Rik	chr10
1810043H04Rik	1810043H04Rik	chr11
1810046J19Rik	1810046J19Rik	chr11
1810046K07Rik	1810046K07Rik	chr9
1810048J11Rik	1810048J11Rik	chr12
1810049H13Rik	1810049H13Rik	chr11
1810053B01Rik;Pabpc1l	1810053B01Rik	chr2
1810053B01Rik;Pabpc1l	Pabpc1l	chr2
1810055G02Rik	1810055G02Rik	chr19
1810058I24Rik	1810058I24Rik	chr6
1810062O18Rik	1810062O18Rik	chr14
1810063B05Rik	1810063B05Rik	chr8
1810063B07Rik	1810063B07Rik	chr14
1810064F22Rik	1810064F22Rik	chr9
1810065E05Rik	1810065E05Rik	chr11
1810074P20Rik;Ufl1	1810074P20Rik	chr4
1810074P20Rik;Ufl1	Ufl1	chr4
2010000I03Rik	2010000I03Rik	chrX
2010001E11Rik	2010001E11Rik	chr10
2010001M06Rik	2010001M06Rik	chr5
2010001M09Rik	2010001M09Rik	chr18
2010002M12Rik	2010002M12Rik	chr19
2010002N04Rik	2010002N04Rik	chr18
2010003K11Rik	2010003K11Rik	chr19
2010003K15Rik	2010003K15Rik	chr10
2010005H15Rik	2010005H15Rik	chr16
2010007H12Rik	2010007H12Rik	chr5
2010011I20Rik	2010011I20Rik	chr2
2010012O05Rik	2010012O05Rik	chr19
2010015L04Rik	2010015L04Rik	chr4
2010016I18Rik	2010016I18Rik	chr3
2010106E10Rik	2010106E10Rik	chrX
2010106G01Rik	2010106G01Rik	chr2
2010107E04Rik	2010107E04Rik	chr12
2010107G12Rik	2010107G12Rik	chr6
2010107G23Rik	2010107G23Rik	chr10
2010107H07Rik	2010107H07Rik	chr14
2010109I03Rik	2010109I03Rik	chr15
2010109K11Rik	2010109K11Rik	chr12
2010110P09Rik	2010110P09Rik	chr7
2010111I01Rik;apo	2010111I01Rik	chr13
2010111I01Rik;apo	apo	chr13
2010209O12Rik;Chpf2;Mir671	2010209O12Rik	chr5
2010209O12Rik;Chpf2;Mir671	Chpf2	chr5
2010209O12Rik;Chpf2;Mir671	Mir671	chr5
2010300C02Rik	2010300C02Rik	chr1
2010305A19Rik	2010305A19Rik	chr4
2010317E24Rik;Ang;Rnase4	2010317E24Rik	chr14
2010317E24Rik;Ang;Rnase4	Ang	chr14
2010317E24Rik;Ang;Rnase4	Rnase4	chr14
2010317E24Rik;Ang;Rnase4	2010317E24Rik	chr2
2010317E24Rik;Ang;Rnase4	Ang	chr2
2010317E24Rik;Ang;Rnase4	Rnase4	chr2
2010320M18Rik	2010320M18Rik	chr8
2010321M09Rik	2010321M09Rik	chr9
2200002D01Rik	2200002D01Rik	chr7
2200002J24Rik	2200002J24Rik	chr7
2200002K05Rik	2200002K05Rik	chr9
2210009G21Rik	2210009G21Rik	chr2
2210010C04Rik	2210010C04Rik	chr6
2210010C17Rik	2210010C17Rik	chr7
2210012G02Rik	2210012G02Rik	chr4
2210013O21Rik	2210013O21Rik	chrX
2210015D19Rik	2210015D19Rik	chr11
2210016F16Rik	2210016F16Rik	chr13
2210016L21Rik	2210016L21Rik	chr5
2210018M11Rik;AK009395	2210018M11Rik	chr7
2210018M11Rik;AK009395	AK009395	chr7
2210020M01Rik	2210020M01Rik	chr11
2210021J22Rik	2210021J22Rik	chr15
2210023G05Rik;Ces2g	2210023G05Rik	chr8
2210023G05Rik;Ces2g	Ces2g	chr8
2210403K04Rik;Mir22	2210403K04Rik	chr11
2210403K04Rik;Mir22	Mir22	chr11
2210404J11Rik;9030025P20Rik;Gm3435	2210404J11Rik	chr17
2210404J11Rik;9030025P20Rik;Gm3435	9030025P20Rik	chr17
2210404J11Rik;9030025P20Rik;Gm3435	Gm3435	chr17
2210404O07Rik	2210404O07Rik	chr10
2210407C18Rik	2210407C18Rik	chr11
2210408I21Rik	2210408I21Rik	chr13
2210409E12Rik	2210409E12Rik	chr11
2210409E12Rik;Coil;Gm10022	2210409E12Rik	chr11
2210409E12Rik;Coil;Gm10022	Coil	chr11
2210409E12Rik;Coil;Gm10022	Gm10022	chr11
2210411K11Rik	2210411K11Rik	chr7
2210415F13Rik	2210415F13Rik	chr11
2210417A02Rik	2210417A02Rik	chr5
2210418O10Rik;Gm14296	2210418O10Rik	chr2
2210418O10Rik;Gm14296	Gm14296	chr2
2300002M23Rik	2300002M23Rik	chr17
2300003K06Rik	2300003K06Rik	chr11
2300005B03Rik	2300005B03Rik	chr15
2300009A05Rik	2300009A05Rik	chr9
2310001A20Rik;APMAP	2310001A20Rik	chr2
2310001A20Rik;APMAP	APMAP	chr2
2310001K24Rik	2310001K24Rik	chr2
2310002J15Rik	2310002J15Rik	chr2
2310002L09Rik	2310002L09Rik	chr4
2310002L13Rik	2310002L13Rik	chr18
2310003C23Rik	2310003C23Rik	chr2
2310003F16Rik	2310003F16Rik	chr2
2310003H01Rik;Faap100	2310003H01Rik	chr11
2310003H01Rik;Faap100	Faap100	chr11
2310003L22Rik	2310003L22Rik	chr2
2310004I24Rik	2310004I24Rik	chr11
2310004N24Rik	2310004N24Rik	chr11
2310005E10Rik;Akr1b10	2310005E10Rik	chr6
2310005E10Rik;Akr1b10	Akr1b10	chr6
2310005G13Rik	2310005G13Rik	chr16
2310005N01Rik;Meaf6	2310005N01Rik	chr4
2310005N01Rik;Meaf6	Meaf6	chr4
2310007B03Rik	2310007B03Rik	chr1
2310007F21Rik;Aagab	2310007F21Rik	chr9
2310007F21Rik;Aagab	Aagab	chr9
2310007L24Rik	2310007L24Rik	chr11
